review_category,min_OP,max_OP,mean_OP,median_OP,std_OP
High,0,99.99,11.536266564240446,7.99,13.269827166457825
Low,0,96.28,9.330060851926978,4.99,12.210379840370143
Medium,0,96.28,10.478593585699263,5.99,12.990781747317516
Very High,0,99.99,10.113641114982578,6.99,11.187642906680786
